,features,chi_square_score,p_values
6,customer_rating,22145.68678847535,0.0
9,complaint_registered,15063.000000001191,0.0
3,product_category,7.019260890811772,0.02990796502077757
2,region,5.804012630365403,0.05491293680308332
1,age_group,1.9489166375348612,0.37739672692976206
7,response_time_hours,0.8603041191372451,0.6504101861111791
5,platform,0.8051701575788303,0.668589453724993
0,gender,0.691131090187599,0.7078199361592619
8,issue_resolved,0.24384292085660592,0.8852178904064522
4,purchase_channel,,
